target,pdb_id,rcsb_url,dude_atom_records,mapped_records,unmatched_records,conflicting_element_records,rcsb_sha256,outcome,error_class
aofb,1s3b,https://files.rcsb.org/download/1S3B.cif,4463,0,4463,0,c42afb4e8198ce1ddbf9c56480a69ad239c2a46e4bdd26c59c8d8b0c4c925c6c,incomplete_or_conflicting_mapping,
bace1,3l5d,https://files.rcsb.org/download/3L5D.cif,3488,0,3488,0,0b7669b1718f1ab3f7cc30f617fc27bd75bfd72d49a2b1a507b0990ed38a8de3,incomplete_or_conflicting_mapping,
braf,3d4q,https://files.rcsb.org/download/3D4Q.cif,3166,0,3166,0,034d6572fda3bb64e13c3b42ef5d55466f3ec4704f47d1357fa23bf802d0d983,incomplete_or_conflicting_mapping,
cah2,1bcd,https://files.rcsb.org/download/1BCD.cif,2507,1025,1482,0,d15065309a0fe0fd8daca44474f73b4d9eca2d9f1c7f1bb456d9c08f7e3804c6,incomplete_or_conflicting_mapping,
casp3,2cnk,https://files.rcsb.org/download/2CNK.cif,1895,1492,403,0,67d18c61685750c0289023322a02d9347d46bea8b86475e560a60adab64fc0be,incomplete_or_conflicting_mapping,
cdk2,1h00,https://files.rcsb.org/download/1H00.cif,2723,2069,654,0,746477bc8f4cda3a0f72f7e0692d5a6022d28cc8d286e8fbd4a95fd701226126,incomplete_or_conflicting_mapping,
comt,3bwm,https://files.rcsb.org/download/3BWM.cif,1968,0,1968,0,debe2736e6c5affecce595281fac469cd424ab6e91a5d908ec89d9460f60e4f6,incomplete_or_conflicting_mapping,
cp2c9,1r9o,https://files.rcsb.org/download/1R9O.cif,3689,2887,802,0,9efe23de6cb1b57ce815a96adc172a49d2db4498c0c20c577f3da6f206a3f7a6,incomplete_or_conflicting_mapping,
cp3a4,3nxu,https://files.rcsb.org/download/3NXU.cif,4289,0,4289,0,8328d272e0ef1aeeb551e2fb662218dcace634889cbcd454cd986bb641d4424a,incomplete_or_conflicting_mapping,
csf1r,3krj,https://files.rcsb.org/download/3KRJ.cif,2515,1060,1455,0,c520fcf42dbc47f2a02018e81fbb16f8b7163f67da25ea966f8401ad413bac36,incomplete_or_conflicting_mapping,
cxcr4,3odu,https://files.rcsb.org/download/3ODU.cif,2840,0,2840,0,347869bf312494329142b2fcf2bb2608cc3c47acee6bd045e849b0bf15322ede,incomplete_or_conflicting_mapping,
def,1lru,https://files.rcsb.org/download/1LRU.cif,1607,650,957,0,77bf6e9214a7eeadb0885f7a95163bc806aa9f3ee1fc8f6fcf7aa7f836016602,incomplete_or_conflicting_mapping,
dhi1,3frj,https://files.rcsb.org/download/3FRJ.cif,3109,0,3109,0,e2f6e596137b1b5ac4e0da1374c0c2d0e6faa3986cbe3cffcc0bfe408e0f8168,incomplete_or_conflicting_mapping,
dpp4,2i78,https://files.rcsb.org/download/2I78.cif,5748,0,5748,0,4c01c0b72f18b43d9525c31356ec0e3a6da8f6431de717144c23d87fef80cd2f,incomplete_or_conflicting_mapping,
drd3,3pbl,https://files.rcsb.org/download/3PBL.cif,2118,0,2118,0,1b41a751610112de0c404a4a62e140e92ad9097e75e9c6eb50db6e1091bb45d0,incomplete_or_conflicting_mapping,
dyr,3nxo,https://files.rcsb.org/download/3NXO.cif,1885,796,1089,0,34c15dac38a933ecee7ff13b2b611099ca53de2c6ef53036cb4be33e8c7c3f63,incomplete_or_conflicting_mapping,
egfr,2rgp,https://files.rcsb.org/download/2RGP.cif,2451,1008,1443,0,2c557b019c22c21fe1286f2ebfe8a7fa9171cf60a6b9563242aa5f2fcbf09dd9,incomplete_or_conflicting_mapping,
esr1,1sj0,https://files.rcsb.org/download/1SJ0.cif,2060,854,1206,0,e7dbcb6d039756877f42c99bc69ed2f42b2b0e20fdb6e7fab09e3b1b0a6007f2,incomplete_or_conflicting_mapping,
esr2,2fsz,https://files.rcsb.org/download/2FSZ.cif,2606,0,2606,0,615959763cce25be7fec54e2670d23bf135b713ea37781ead2bca6ab2e9abf73,incomplete_or_conflicting_mapping,
fa10,3kl6,https://files.rcsb.org/download/3KL6.cif,2256,0,2256,0,0bad93fbb2f96a2436321e7e18473b94682671e7d8f92d575f72cdcf6742262d,incomplete_or_conflicting_mapping,
fa7,1w7x,https://files.rcsb.org/download/1W7X.cif,2346,0,2346,0,7fc12176cd74ab07a60721859134b2e55065d7da4e2342b5bd1256bd7345b118,incomplete_or_conflicting_mapping,
fabp4,2nnq,https://files.rcsb.org/download/2NNQ.cif,1264,531,733,0,3827256abb025cb4ef5ebe718171785de1e907005aff7982669e7683a3c9b99c,incomplete_or_conflicting_mapping,
fak1,3bz3,https://files.rcsb.org/download/3BZ3.cif,2354,956,1398,0,0d8665c771aa861743a6180ca09e6750f48d821c3225f9c92b32f13c0fb82184,incomplete_or_conflicting_mapping,
fgfr1,3c4f,https://files.rcsb.org/download/3C4F.cif,2430,0,2430,0,15c8619604ead5ae9fabef8004710fb7fe028463f0e21f0d782e4a8e08c549ed,incomplete_or_conflicting_mapping,
fkb1a,1j4h,https://files.rcsb.org/download/1J4H.cif,1017,429,588,0,bf3460082a00ece1228d75079612d75d74582092cc7dbb7e80c5568d61d3bdaf,incomplete_or_conflicting_mapping,
fnta,3e37,https://files.rcsb.org/download/3E37.cif,5376,0,5376,0,9d03452cdfc72604360a69134a32e09ca6d5b84d818c3b46612c96e223ca0e6f,incomplete_or_conflicting_mapping,
fpps,1zw5,https://files.rcsb.org/download/1ZW5.cif,2925,1174,1751,0,2d3c01c9babfcf41572045617bf6adbce703bb8a571d94818c220ca979a4dd1d,incomplete_or_conflicting_mapping,
gcr,3bqd,https://files.rcsb.org/download/3BQD.cif,2449,0,2449,0,3a78353d8d0a9c202574c737ab86117d7086648275a565b0e99a5e8468d13c3a,incomplete_or_conflicting_mapping,
glcm,2v3f,https://files.rcsb.org/download/2V3F.cif,4627,0,4627,0,590b9b4b42420eb0eb4696beab0c369e0e064c416fa2f8dc6db2084f22ba7e75,incomplete_or_conflicting_mapping,
gria2,3kgc,https://files.rcsb.org/download/3KGC.cif,3016,0,3016,0,c947b9823de9fcdd922624e5f428a30259d5d23653c9fba463ee988f0cba0c5e,incomplete_or_conflicting_mapping,
grik1,1vso,https://files.rcsb.org/download/1VSO.cif,2360,973,1387,0,571858dc6e621cbb9f51685ffc2b209e57e16f6fdaa483e25e5c1bc00c23a095,incomplete_or_conflicting_mapping,
hdac2,3max,https://files.rcsb.org/download/3MAX.cif,3693,0,3693,0,d7cd1eb0672136aaa9f2b7b83cca8e99824d24f4b9df75937798b159acbe1321,incomplete_or_conflicting_mapping,
hdac8,3f07,https://files.rcsb.org/download/3F07.cif,3153,0,3153,0,2acadf72a4020a1ed33ef823fda02b3e492a59402cf56b11f36da3c9e5e50cf6,incomplete_or_conflicting_mapping,
hivint,3nf7,https://files.rcsb.org/download/3NF7.cif,2092,0,2092,0,935059bba5f7cef05bcec8e0ed743d082df2a41fec6dd94a54ca61e0609c1920,incomplete_or_conflicting_mapping,
hivpr,1xl2,https://files.rcsb.org/download/1XL2.cif,1845,730,1115,0,f6360a36a883463dc96163827457570d9b61b84e23bde07378bd85b6467b28af,incomplete_or_conflicting_mapping,
hivrt,3lan,https://files.rcsb.org/download/3LAN.cif,2707,884,1823,0,013eabcebc9d7e73b73e4c852064bbae350d6c2f6152ce2f639b9c8b51371dc9,incomplete_or_conflicting_mapping,
hmdh,3ccw,https://files.rcsb.org/download/3CCW.cif,5282,0,5282,0,6d75792991c9c3c261138b6f1c081af3c335c34e1194e3fbf43c8ae0dc0e7747,incomplete_or_conflicting_mapping,
hs90a,1uyg,https://files.rcsb.org/download/1UYG.cif,1995,839,1156,0,ebf917aa6114925d26c3ce7f609c0ed1039e8a52a3db9e012f409c2981ef93b4,incomplete_or_conflicting_mapping,
hxk4,3f9m,https://files.rcsb.org/download/3F9M.cif,2697,1133,1564,0,2ebc367654a3cc98f7927fecf7df0f15c8f0cc645df71684428601bc8f237a97,incomplete_or_conflicting_mapping,
igf1r,2oj9,https://files.rcsb.org/download/2OJ9.cif,2470,1031,1439,0,5d371d038bf9f7472d516abb67e26833270f91de23d615badf542410277f720c,incomplete_or_conflicting_mapping,
inha,2h7l,https://files.rcsb.org/download/2H7L.cif,2244,1011,1233,0,6dd9c9b2baab6c79b23ff8a0f928623eb6503aa2baa9bb2be7686d92f95b39f2,incomplete_or_conflicting_mapping,
ital,2ica,https://files.rcsb.org/download/2ICA.cif,1754,720,1034,0,016e9ee972850b78bcc0a7beb7ef0e2d3ac7ea2a6555af50ea99e62bb7a4e40c,incomplete_or_conflicting_mapping,
jak2,3lpb,https://files.rcsb.org/download/3LPB.cif,2662,0,2662,0,369f302c08b751c77ac01f4e17c8c1713c2438749a2fd2407d505f8c9a9a0e2c,incomplete_or_conflicting_mapping,
kif11,3cjo,https://files.rcsb.org/download/3CJO.cif,2611,0,2611,0,94f8d6c475d6533d39cc2cd7241cc557af2eb058cd3da0495eb98abd77d9e705,incomplete_or_conflicting_mapping,
kit,3g0e,https://files.rcsb.org/download/3G0E.cif,2620,0,2620,0,4d6aea1ebab23dab371149a2c409ecc19d42a04b7678df12953ce60b67e93b9b,incomplete_or_conflicting_mapping,
kith,2b8t,https://files.rcsb.org/download/2B8T.cif,2718,0,2718,0,3b6a27a0a6545c7697e7290b7398466efc98ee77f4ddedb3021b2ffc78fd8f3d,incomplete_or_conflicting_mapping,
kpcb,2i0e,https://files.rcsb.org/download/2I0E.cif,2989,0,2989,0,dbc0cd31e377817776520118c4ba02390110562fff28dda14fc47afb9d97cd00,incomplete_or_conflicting_mapping,
lck,2of2,https://files.rcsb.org/download/2OF2.cif,2502,1018,1484,0,582a71a114c97a23ebfb809679b3dbcb563b0b9ade079d1f5933bc45d1838e7f,incomplete_or_conflicting_mapping,
lkha4,3chp,https://files.rcsb.org/download/3CHP.cif,4683,0,4683,0,7933d8a5bd1bb47977bdf9b10ad7fff3024e4de17ec5866b0727f63818d47afa,incomplete_or_conflicting_mapping,
mapk2,3m2w,https://files.rcsb.org/download/3M2W.cif,2486,995,1491,0,affdf3f7942db5d1cdcc965bd0c871c78a2bdc41ec99780ccd3777f38f36f911,incomplete_or_conflicting_mapping,
mcr,2aa2,https://files.rcsb.org/download/2AA2.cif,2238,905,1333,0,0a9ec64d41bc14c01a41241a78ec3b29478347797e7e64f307725b3c3be3eab3,incomplete_or_conflicting_mapping,
met,3lq8,https://files.rcsb.org/download/3LQ8.cif,2578,1074,1504,0,a06e0dd6d6be63f7022e7093b958f81e1a7ebe9a2489bd33d098b677f47026f9,incomplete_or_conflicting_mapping,
mk01,2ojg,https://files.rcsb.org/download/2OJG.cif,2621,1051,1570,0,794cad871b0d976a717ded3c84836c669a677b0ee079af04dcdbcc51ea582ca7,incomplete_or_conflicting_mapping,
mk10,2zdt,https://files.rcsb.org/download/2ZDT.cif,2645,1069,1576,0,7f87005c72e785320fc3e179da8058f03dd8f338b7bf9eeb4a8f630bb6d10abf,incomplete_or_conflicting_mapping,
mk14,2qd9,https://files.rcsb.org/download/2QD9.cif,2638,1071,1567,0,818df8c5c8a26d40566f1079a4eb8872c07ac68643424f5d296286ae293cf49f,incomplete_or_conflicting_mapping,
mmp13,830c,https://files.rcsb.org/download/830C.cif,1850,0,1850,0,3c4cb649ba41d421da4834b8dda5e419a8deda1ea7fc01430330fc355171c9c2,incomplete_or_conflicting_mapping,
mp2k1,3eqh,https://files.rcsb.org/download/3EQH.cif,3013,2370,643,0,f691d0b7fc2171a68f180878e19db4924741d207be721fab7d81fa16cb4dc3a8,incomplete_or_conflicting_mapping,
nos1,1qw6,https://files.rcsb.org/download/1QW6.cif,3566,2773,793,0,ed5e14667084d0fd344d30bc71e017f48e410e1e5d6130cd6a41bc93486ea091,incomplete_or_conflicting_mapping,
nram,1b9v,https://files.rcsb.org/download/1B9V.cif,3331,1402,1929,0,06ecc2f0c82d97ca07a88379a9597231c043bf43cd0a338520fbf6f71d0f582c,incomplete_or_conflicting_mapping,
pa2ga,1kvo,https://files.rcsb.org/download/1KVO.cif,3658,500,3158,0,877284470809b39101ee6db6694b066b0e79726aed138c00219111bfc9d1b6d4,incomplete_or_conflicting_mapping,
parp1,3l3m,https://files.rcsb.org/download/3L3M.cif,3351,2623,728,0,924fb78377a5ffa4cee1d96a8a87c5c4e2fed1c58a4132d218e7e705aa75413a,incomplete_or_conflicting_mapping,
pde5a,1udt,https://files.rcsb.org/download/1UDT.cif,3160,2383,777,0,5f3e39031fc579ca6b31cdaab37dd7fbceba26126cf33a03fd6ab35e62eb16e9,incomplete_or_conflicting_mapping,
pgh1,2oyu,https://files.rcsb.org/download/2OYU.cif,4116,1618,2498,0,d038ab60c53813a515624d26d890415452bdf4046bee77d12ec05acb00b645dd,incomplete_or_conflicting_mapping,
pgh2,3ln1,https://files.rcsb.org/download/3LN1.cif,5383,0,5383,0,988bae0b88e4f4d5d21607bbae29b94a9201554f627fb79383109fe364c37fac,incomplete_or_conflicting_mapping,
plk1,2owb,https://files.rcsb.org/download/2OWB.cif,2418,1863,555,0,0e75c5339c11d272f5822510503e4a211e972d1c23ff974c62e2eedb44d89946,incomplete_or_conflicting_mapping,
pnph,3bgs,https://files.rcsb.org/download/3BGS.cif,2297,988,1309,0,8a85177a6512e678f6feda49552c97b0d4784f70c3302a6dc7831f234a75e353,incomplete_or_conflicting_mapping,
ppara,2p54,https://files.rcsb.org/download/2P54.cif,2441,1007,1434,0,aa5f374c358cfdfff995676fb575bbcdc2780d1d8c671279beb317b7890155e4,incomplete_or_conflicting_mapping,
ppard,2znp,https://files.rcsb.org/download/2ZNP.cif,2580,0,2580,0,c76f05a2721da4c7d18420b038bb26a1ae06acec1003db9b9bb13c564e287e0e,incomplete_or_conflicting_mapping,
pparg,2gtk,https://files.rcsb.org/download/2GTK.cif,2346,960,1386,0,a4405f1d3c991c934b9dcdd91ae23648da826b3f44f4cf29660f49a8f6352aa5,incomplete_or_conflicting_mapping,
prgr,3kba,https://files.rcsb.org/download/3KBA.cif,2749,0,2749,0,b614ea49b1b5df2b381c0645a69250440b414aad208d991f2593ab14306e242b,incomplete_or_conflicting_mapping,
ptn1,2azr,https://files.rcsb.org/download/2AZR.cif,2531,1021,1510,0,a7ecfeae6661bcf03f907fcd256e12d31492caa2817043271af9ae097a20a227,incomplete_or_conflicting_mapping,
pur2,1njs,https://files.rcsb.org/download/1NJS.cif,2273,801,1472,0,c3e56d14bacf89906fbc03379e4ba6cd66282473b7b5e15717f3d28f21a8f07f,incomplete_or_conflicting_mapping,
pygm,1c8k,https://files.rcsb.org/download/1C8K.cif,3778,1510,2268,0,35252e47f67a97fcc12a19eedc58837be43ac92bece12e8f63868dfc42cfe6e6,incomplete_or_conflicting_mapping,
pyrd,1d3g,https://files.rcsb.org/download/1D3G.cif,2560,1138,1422,0,32f68e7d1beed3226ac41b091a18f55101b51388ed35db3e7cee9ee5be7e0436,incomplete_or_conflicting_mapping,
reni,3g6z,https://files.rcsb.org/download/3G6Z.cif,3732,635,3097,0,35eabf04e2e851eac12abaf510c4678b63b4f2645ef9c68068db1660aea04c4e,incomplete_or_conflicting_mapping,
rock1,2etr,https://files.rcsb.org/download/2ETR.cif,3212,0,3212,0,27253e6ee25c3894cfcfa93fc2bad15d8f293da33ab107a18f6efbeca1e81e0c,incomplete_or_conflicting_mapping,
rxra,1mv9,https://files.rcsb.org/download/1MV9.cif,2088,867,1221,0,2392ff817a7bb428bacf5d78dd6819a8aa06ef3e6a02975855c222b20a583355,incomplete_or_conflicting_mapping,
sahh,1li4,https://files.rcsb.org/download/1LI4.cif,3649,1596,2053,0,ee0e9342d6e02a4c0765efb9ed74a020f4fea77c9aa8b64819f9b879e3697041,incomplete_or_conflicting_mapping,
src,3el8,https://files.rcsb.org/download/3EL8.cif,2273,0,2273,0,cca5177840c78e9a3ea0a8f36988649164610c2e83bd4e71b1ca61c370685618,incomplete_or_conflicting_mapping,
tgfr1,3hmm,https://files.rcsb.org/download/3HMM.cif,2597,1045,1552,0,33e046bc3ba5f80405814a2a911dbaa12d7ed427d1a983a2dc493f01c297b6c1,incomplete_or_conflicting_mapping,
thb,1q4x,https://files.rcsb.org/download/1Q4X.cif,2107,885,1222,0,1736b5af4635ec62024cafb3af2fd116da7735d4df47f2c83cc37a6ae5d60bab,incomplete_or_conflicting_mapping,
thrb,1ype,https://files.rcsb.org/download/1YPE.cif,2606,0,2606,0,c0e2f37e7cb2cd729d7a01dec8baebe734de3c3061c6ad10c76237e79225814d,incomplete_or_conflicting_mapping,
try1,2ayw,https://files.rcsb.org/download/2AYW.cif,2015,891,1124,0,6ec49c1c9bca98646103e1b04680a6242a50cd78b28d1e79ead4571b0c255eb6,incomplete_or_conflicting_mapping,
tryb1,2zec,https://files.rcsb.org/download/2ZEC.cif,3950,0,3950,0,24374c4ef07b7ffc35db63177ad724782febc9b57cc51130d6ffe7b6e6b688e4,incomplete_or_conflicting_mapping,
tysy,1syn,https://files.rcsb.org/download/1SYN.cif,3122,1891,1231,0,2fe73e2f776dab4f2cb988860a9003961a8a969600822306479ff40255b5bf75,incomplete_or_conflicting_mapping,
urok,1sqt,https://files.rcsb.org/download/1SQT.cif,2244,931,1313,0,702bc4e3a599960158003bddfaffa82f99c5e7b5e25767070dc964649cc83bae,incomplete_or_conflicting_mapping,
vgfr2,2p2i,https://files.rcsb.org/download/2P2I.cif,2936,0,2936,0,7a44b14fe17f70b80c36cb4cdf6fd6471160b8f96f78584ef8dbb1f7d63c4530,incomplete_or_conflicting_mapping,
wee1,3biz,https://files.rcsb.org/download/3BIZ.cif,2171,892,1279,0,51a52f2285edcb1fef3a380385b47152f4117eb858ba6afd72bb9121f506395f,incomplete_or_conflicting_mapping,
xiap,3hl5,https://files.rcsb.org/download/3HL5.cif,1347,0,1347,0,3d42af12c41b2cc070a6ef429b1ac3e6db37f68bdef19989fefca317f33cc39e,incomplete_or_conflicting_mapping,
